manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.032028,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=landsat; rolling_id=R2025-H2; target_year=2025,0.0320276333655505,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,0.017862,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=landsat; rolling_id=R2025-H2; target_year=2025,0.0178619254259415,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.038855,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=landsat; rolling_id=R2025-H3; target_year=2025,0.0388553593735334,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.030318,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=landsat; rolling_id=R2025-H3; target_year=2025,0.0303184931299491,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,0.014269,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=landsat; rolling_id=R2025-H3; target_year=2025,0.0142693697944905,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.033377,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H1; target_year=2024,0.03337744257448,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.025395,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H1; target_year=2024,0.0253949168921849,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.001419,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H1; target_year=2024,-0.0014193691857892,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.033796,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H2; target_year=2024,0.0337963471969423,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.025584,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H2; target_year=2024,0.0255838710722828,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.004965,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H2; target_year=2024,-0.0049646296373452,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.034357,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H3; target_year=2024,0.0343572357942719,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.026271,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H3; target_year=2024,0.0262705741680192,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.008366,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2024-H3; target_year=2024,-0.0083657687642393,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.033137,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H1; target_year=2025,0.0331368200538369,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.026465,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H1; target_year=2025,0.0264650236960208,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,0.011385,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H1; target_year=2025,0.0113852801813987,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.032718,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H2; target_year=2025,0.0327178257301312,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.026020,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H2; target_year=2025,0.026019559990907,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,0.010599,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H2; target_year=2025,0.0105989705107837,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.032652,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H3; target_year=2025,0.0326519290100027,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.025686,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H3; target_year=2025,0.0256863723714172,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,0.008679,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=modis; rolling_id=R2025-H3; target_year=2025,0.0086793986326361,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.045157,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H1; target_year=2024,0.0451574848414513,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.030608,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H1; target_year=2024,0.0306081109912275,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.004925,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H1; target_year=2024,-0.0049245226146776,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.044228,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H2; target_year=2024,0.0442276799959836,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.030230,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H2; target_year=2024,0.030230129129949,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.002711,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H2; target_year=2024,-0.0027107603450003,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.044084,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H3; target_year=2024,0.0440836819752526,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.030630,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H3; target_year=2024,0.0306296856435946,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.000411,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2024-H3; target_year=2024,-0.0004111578431963,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.041776,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H1; target_year=2025,0.0417760053410692,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.028469,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H1; target_year=2025,0.0284692519851365,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.002426,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H1; target_year=2025,-0.0024264328666484,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.042258,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H2; target_year=2025,0.0422580131745853,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.028400,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H2; target_year=2025,0.0283996017944257,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.004074,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H2; target_year=2025,-0.0040741011387953,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,RMSE,0.042094,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H3; target_year=2025,0.0420939656716141,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,MAE,0.028356,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H3; target_year=2025,0.028356104100038,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,configuration-level archive,Figure 1 / archived metrics,Bias,-0.003791,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/rolling_origin_metrics.csv,AOI=AOI-03; sensor=sentinel2; rolling_id=R2025-H3; target_year=2025,-0.0037910819019682,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.211528,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P1/P99,0.2115284351420828,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.198628,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P1/P99,0.1986284586607676,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0200829295099165,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P1/P99,0.0200829295099165,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.201795,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P2/P98,0.2017949683030098,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.185167,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P2/P98,0.1851668472183813,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0400659439476445,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P2/P98,0.0400659439476445,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.197129,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P5/P95,0.1971286950457216,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.167080,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P5/P95,0.1670796522037335,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.1000149872608282,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P5/P95,0.1000149872608282,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.249054,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P10/P90,0.2490543765921777,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.209933,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P10/P90,0.2099325484149835,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.2000299745216565,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=landsat; endpoint=P10/P90,0.2000299745216565,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.197316,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P1/P99,0.1973162741246914,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.183179,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P1/P99,0.1831793611945566,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0200633013250362,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P1/P99,0.0200633013250362,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.183367,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P2/P98,0.1833673902157167,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,MAE_DPM,0.163027,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P2/P98,0.1630273637964535,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,total_clip_ratio,0.0400193122686551,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P2/P98,0.0400193122686551,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 3,Table 3,RMSE_DPM,0.193358,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/dpm_endpoint_sensitivity.csv,AOI=AOI-00; sensor=modis; endpoint=P5/P95,0.1933579237587785,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
